# ──────────────────────────────────────────────────────────────────
# 포맷 A: 롱 포맷 (권장)
# 컬럼: cycle, point_idx, thickness_nm, temp_c, pressure, gas_flow
# ──────────────────────────────────────────────────────────────────
cycle,point_idx,thickness_nm,temp_c,pressure,gas_flow
1,0,0.065,362.1,48.2,120.5
1,1,0.063,362.1,48.2,120.5
1,2,0.062,362.1,48.2,120.5
1,3,0.064,362.1,48.2,120.5
1,4,0.063,362.1,48.2,120.5
1,5,0.062,362.1,48.2,120.5
1,6,0.063,362.1,48.2,120.5
2,0,0.131,362.3,48.1,120.4
2,1,0.128,362.3,48.1,120.4
2,2,0.127,362.3,48.1,120.4
...
