cycle,point_idx,thickness_nm,temp_c,pressure,gas_flow,rf_power
1,0,0.0657,361.79,47.91,120.05,299.7
1,1,0.0603,361.79,47.91,120.05,299.7
1,2,0.0602,361.79,47.91,120.05,299.7
1,3,0.0635,361.79,47.91,120.05,299.7
1,4,0.0627,361.79,47.91,120.05,299.7
1,5,0.0594,361.79,47.91,120.05,299.7
1,6,0.0629,361.79,47.91,120.05,299.7
1,7,0.0602,361.79,47.91,120.05,299.7
1,8,0.0587,361.79,47.91,120.05,299.7
1,9,0.058,361.79,47.91,120.05,299.7
1,10,0.0591,361.79,47.91,120.05,299.7
1,11,0.0622,361.79,47.91,120.05,299.7
1,12,0.0589,361.79,47.91,120.05,299.7
1,13,0.0594,361.79,47.91,120.05,299.7
1,14,0.0582,361.79,47.91,120.05,299.7
1,15,0.0571,361.79,47.91,120.05,299.7
1,16,0.0604,361.79,47.91,120.05,299.7
1,17,0.0599,361.79,47.91,120.05,299.7
1,18,0.0594,361.79,47.91,120.05,299.7
1,19,0.0575,361.79,47.91,120.05,299.7
1,20,0.0574,361.79,47.91,120.05,299.7
1,21,0.0539,361.79,47.91,120.05,299.7
1,22,0.0557,361.79,47.91,120.05,299.7
1,23,0.0588,361.79,47.91,120.05,299.7
1,24,0.058,361.79,47.91,120.05,299.7
1,25,0.0565,361.79,47.91,120.05,299.7
1,26,0.0584,361.79,47.91,120.05,299.7
1,27,0.0567,361.79,47.91,120.05,299.7
1,28,0.0581,361.79,47.91,120.05,299.7
1,29,0.0533,361.79,47.91,120.05,299.7
1,30,0.0569,361.79,47.91,120.05,299.7
1,31,0.0515,361.79,47.91,120.05,299.7
1,32,0.0506,361.79,47.91,120.05,299.7
1,33,0.0549,361.79,47.91,120.05,299.7
1,34,0.0531,361.79,47.91,120.05,299.7
1,35,0.0566,361.79,47.91,120.05,299.7
1,36,0.0561,361.79,47.91,120.05,299.7
1,37,0.0537,361.79,47.91,120.05,299.7
1,38,0.0571,361.79,47.91,120.05,299.7
1,39,0.0533,361.79,47.91,120.05,299.7
1,40,0.0536,361.79,47.91,120.05,299.7
1,41,0.0552,361.79,47.91,120.05,299.7
1,42,0.0553,361.79,47.91,120.05,299.7
1,43,0.0553,361.79,47.91,120.05,299.7
1,44,0.0537,361.79,47.91,120.05,299.7
